label,sensitivity,specificity,support
BC,0.7925925925925926,0.9809861424427972,135
BC_benign,0.0,1.0,6
BL,0.175,0.9914502849905004,80
BT,0.0375,0.9968334388853705,80
CC,0.4827586206896552,0.9393627954779034,319
EC,0.6403508771929824,0.984955185659411,114
GC,0.43462897526501765,0.9458544839255499,283
GL,0.6326530612244898,0.9952963311382879,49
GL_benign,0.0,1.0,5
HC,0.07246376811594203,0.9977911012937836,69
LK,0.3952802359882006,0.9272162814763711,339
OV,0.0875,0.9946168461051298,80
OV_benign,0.0,1.0,5
PC,0.4294117647058823,0.961864406779661,170
PR,0.4368932038834951,0.9551451187335093,206
PR_benign,0.10869565217391304,0.9981203007518797,46
SA,0.38333333333333336,0.9933920704845814,60
SA_benign,0.2222222222222222,0.9962204724409449,63
VOL,0.9176262178919398,0.8463726884779517,1129
